bar_idx,entry_i,exit_i,side,entry_px,exit_px,exit_type,pnl_pct,pnl_usd,hold,equity,entry_atr
833,832,833,LONG,73611.2,72687.8918898503,SL,-6.646519212767196,-0.24047082527595873,1,6.995521957654452,923.3081101496947
837,834,837,LONG,73395.7,72348.2098437995,SL,-7.510909571000021,-0.26271366412943814,3,6.7328082935250135,1047.4901562005025
842,838,842,LONG,72506.3,71395.12564943662,SL,-8.037605529198007,-0.2705782858353343,4,6.462230007689679,1111.1743505633742
845,843,845,LONG,71189.1,70090.91340002729,SL,-8.088165357988217,-0.26133792441773795,2,6.200892083271941,1098.1865999727179
851,846,851,LONG,70916.9,69880.07286438043,SL,-7.6851555173700765,-0.2382741000318689,5,5.962617983240072,1036.8271356195562
855,852,855,LONG,69541.0,68479.3031381545,SL,-8.00860364278265,-0.2387612205054889,3,5.7238567627345835,1061.6968618454964
857,856,857,LONG,68268.2,67024.28484820988,SL,-9.485502047733227,-0.2714682752192529,1,5.45238848751533,1243.9151517901207
860,858,860,LONG,66313.1,65008.16856809934,SL,-10.214167765499313,-0.2784580536707932,2,5.1739304338445375,1304.9314319006648
864,861,864,LONG,63185.0,61684.47906126612,SL,-12.249028161224015,-0.31687809794187866,3,4.857052335902659,1500.5209387338775
867,865,867,LONG,65668.5,63883.5679083929,SL,-13.965474059915314,-0.33915519202349836,2,4.517897143879161,1784.9320916070976
880,868,880,LONG,64876.9,70004.33776085364,TP,39.14166741824622,0.884190137177813,12,5.402087281056974,1709.145920284546
894,881,894,LONG,70710.1,69191.15484389485,SL,-11.11565201509511,-0.30023861185700307,13,5.1018486691999705,1518.9451561051576
935,895,935,LONG,68066.4,71902.78609382472,TP,27.80620316209405,0.7093152029901677,40,5.811163872190138,1278.795364608242
979,937,979,LONG,68690.0,67867.53595436757,SL,-6.361781523019569,-0.18484677474669037,42,5.626317097443448,822.4640456324313
981,980,981,LONG,67365.9,66687.00340664659,SL,-5.413874217915934,-0.1523008653783435,1,5.474016232065105,678.896593353403
990,982,990,LONG,67000.1,66305.99375369019,SL,-5.554889629342516,-0.15203777999175522,8,5.321978452073349,694.1062463098217
1017,991,1017,LONG,65996.8,65159.51672260659,SL,-6.718362688747134,-0.17877490731362908,26,5.14320354475972,837.2832773934151
1038,1018,1038,LONG,65759.9,68100.95556287281,TP,17.425023744507065,0.4481022194513551,20,5.591305764211075,780.3518542909379
1088,1039,1088,LONG,68922.2,68217.35931338464,SL,-5.488306645865568,-0.1534340029239305,49,5.437871761287145,704.8406866153497
1108,1089,1108,LONG,68424.7,69973.98343976766,TP,10.946083174406832,0.29761698295403627,19,5.735488744241181,516.42781325589
1110,1109,1110,LONG,68390.2,67802.4060903563,SL,-4.672354808464549,-0.1339911920652479,1,5.601497552175933,587.7939096437086
1133,1111,1133,LONG,67844.8,67214.74963913375,SL,-5.01832093886527,-0.1405505622754352,22,5.460946989900497,630.0503608662581
1157,1134,1157,LONG,67361.0,66768.25793233224,SL,-4.774742192572553,-0.13037307002039994,23,5.330573919880098,592.7420676677611
1159,1158,1159,LONG,67666.7,67112.93372040403,SL,-4.466867045355857,-0.11905482487772902,1,5.211519095002369,553.7662795959646
1161,1160,1161,LONG,67152.6,66595.06223851164,SL,-4.526274570816044,-0.11794383177515733,1,5.093575263227211,557.5377614883569
1196,1162,1196,LONG,66138.1,67968.23900548264,TP,13.460739199361873,0.3428164410531125,34,5.436391704280323,610.046335160878
1202,1197,1202,LONG,67819.3,67366.23431574572,SL,-3.7152415260426204,-0.10098754105787935,5,5.335404163222444,453.0656842542747
1204,1203,1204,LONG,67510.8,67077.67969037539,SL,-3.5827853441568887,-0.0955780392057351,1,5.239826124016709,433.1203096246146
1206,1205,1206,LONG,67052.4,66558.83044731346,SL,-4.0554764086485475,-0.10624995615685061,1,5.133576167859858,493.56955268653076
1208,1207,1208,LONG,67774.9,67196.63594691824,SL,-4.6410634916595885,-0.11912626467154062,1,5.014449903188318,578.2640530817536
1254,1209,1254,LONG,67905.5,67308.77181137339,SL,-4.76881337761019,-0.11956487889840285,45,4.894885024289915,596.7281886266134
1256,1255,1256,LONG,67596.9,67308.95195907356,SL,-2.5048908746291145,-0.061305764148512604,1,4.833579260141403,287.9480409264342
1263,1257,1263,LONG,67383.9,67094.11878103792,SL,-2.5252259364779563,-0.06102939856865501,6,4.772549861572748,289.78121896207864
1270,1264,1270,LONG,64385.7,65802.02098143581,TP,10.623723174833968,0.2535112428372053,6,5.026061104409953,472.1069938119375
1279,1271,1279,LONG,65638.9,65162.94889157154,SL,-4.000526238468735,-0.10053444662169583,8,4.925526657788257,475.9511084284533
